feature,chi2,p_value
cat__requested_server_name_blogspot.com,45.079230227056534,4.5135817170668846e-08
cat__dst_ip_128.116.104.4,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_booking.com,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_stackexchange.com,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_refinery29.com,45.079230227056534,4.5135817170668846e-08
cat__dst_ip_146.75.74.62,45.079230227056534,4.5135817170668846e-08
cat__requested_server_name_www.aol.com,45.079230227056534,4.5135817170668846e-08
cat__application_name_TLS.QQ,45.0592502740832,4.5550365599480165e-08
cat__dst_ip_192.0.66.176,45.0592502740832,4.5550365599480165e-08
cat__application_category_name_Chat,45.0592502740832,4.5550365599480165e-08
cat__requested_server_name_slate.com,45.0592502740832,4.5550365599480165e-08
cat__dst_ip_151.101.2.137,45.0592502740832,4.5550365599480165e-08
cat__requested_server_name_variety.com,45.0592502740832,4.5550365599480165e-08
cat__requested_server_name_qq.com,45.0592502740832,4.5550365599480165e-08
cat__requested_server_name_www.aliexpress.com,45.0592502740832,4.5550365599480165e-08
cat__requested_server_name_aliexpress.com,45.0592502740832,4.5550365599480165e-08
cat__server_fingerprint_ea4ac9a2c0ba2e422112132cdbb985ea,45.0592502740832,4.5550365599480165e-08
cat__dst_ip_27.123.42.205,44.17037037037527,6.838751662124518e-08
cat__dst_ip_13.107.246.59,44.17037037037527,6.838751662124518e-08
cat__dst_ip_142.250.182.105,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_expedia.com,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_www.bloomberg.com,44.17037037037527,6.838751662124518e-08
cat__dst_ip_199.232.105.55,44.17037037037527,6.838751662124518e-08
cat__dst_ip_23.203.201.53,44.17037037037527,6.838751662124518e-08
cat__dst_ip_199.232.105.73,44.17037037037527,6.838751662124518e-08
cat__application_name_TLS.Bloomberg,44.17037037037527,6.838751662124518e-08
cat__dst_ip_208.82.238.130,44.17037037037527,6.838751662124518e-08
cat__src_ip_47.103.24.173,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_mashable.com,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_www.instagram.com,44.17037037037527,6.838751662124518e-08
cat__dst_ip_151.101.1.55,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_www.expedia.com,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_instagram.com,44.17037037037527,6.838751662124518e-08
cat__dst_ip_23.48.236.90,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_indeed.com,44.17037037037527,6.838751662124518e-08
cat__dst_ip_18.161.246.63,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_bloomberg.com,44.17037037037527,6.838751662124518e-08
cat__dst_ip_18.161.246.125,44.17037037037527,6.838751662124518e-08
cat__dst_ip_57.144.176.34,44.17037037037527,6.838751662124518e-08
cat__dst_ip_151.101.66.114,44.17037037037527,6.838751662124518e-08
cat__dst_ip_172.64.145.239,44.17037037037527,6.838751662124518e-08
cat__dst_ip_172.253.118.84,44.17037037037527,6.838751662124518e-08
cat__requested_server_name_tripadvisor.com,44.17037037037527,6.838751662124518e-08
cat__dst_ip_203.205.254.157,42.357766627293536,1.5626409132873827e-07
cat__requested_server_name_www.airbnb.co.in,42.357766627293536,1.5626409132873827e-07
cat__dst_ip_23.65.124.81,42.357766627293536,1.5626409132873827e-07
cat__requested_server_name_airbnb.com,42.357766627293536,1.5626409132873827e-07
cat__server_fingerprint_758945630046fd37070521b8544d1fe8,42.357766627293536,1.5626409132873827e-07
cat__requested_server_name_www.airbnb.com,42.357766627293536,1.5626409132873827e-07
